CD_MUN,Hierarquia_REGIC
3526506,Centro Local
3526704,Centro Subregional
3526803,Centro Subregional
3526902,Capital Regional
3527108,Centro Subregional
3527207,Centro Subregional
3527256,Centro Local
3527504,Centro Local
3527603,Centro Local
3527702,Centro Local
3527801,Centro Local
3527900,Centro Local
3528007,Centro Local
3528106,Centro Local
3528304,Centro Local
3528601,Centro de Zona
3528700,Centro Local
3528809,Centro Local
3529005,Capital Regional
3529104,Centro Local
3529203,Centro Local
3529302,Centro Subregional
3529500,Centro Local
3529609,Centro Local
3529658,Centro Local
3529708,Centro Local
3529807,Centro Local
3529906,Centro Local
3530003,Centro Local
3530102,Centro Local
3530201,Centro Local
3530508,Centro de Zona
3530706,Centro Subregional
3530904,Centro Local
3531308,Centro de Zona
3531407,Centro Local
3531506,Centro Local
3531605,Centro Local
3531902,Centro Local
3532009,Centro Local
3532058,Centro Local
3532108,Centro Local
3532157,Centro Local
3532306,Centro Local
3532405,Centro Local
3532603,Centro Local
3532702,Centro Local
3532827,Centro Local
3532843,Centro Local
3532868,Centro Local
3532900,Centro Local
3533007,Centro Local
3533205,Centro Local
3533502,Centro de Zona
3533601,Centro Local
3533700,Centro Local
3533809,Centro Local
3533908,Centro Subregional
3534302,Centro Subregional
3534500,Centro Local
3534609,Centro de Zona
3534708,Centro Subregional
3534757,Centro Local
3534807,Centro Local
3534906,Centro Local
3535002,Centro Local
3535200,Centro Local
3535309,Centro Local
3535408,Centro Local
3535507,Centro de Zona
3535606,Centro Local
3535705,Centro Local
3535804,Centro Local
3535903,Centro Local
3536000,Centro Local
3536109,Centro Local
3536208,Centro Local
3536406,Centro Local
3536570,Centro Local
3536604,Centro Local
3536703,Centro de Zona
3536802,Centro Local
3537008,Centro Local
3537107,Centro Local
3537156,Centro Local
3537206,Centro Local
3537305,Centro Subregional
3537404,Centro de Zona
3537503,Centro Local
3537602,Centro de Zona
3537701,Centro Local
3537800,Centro de Zona
3537909,Centro Local
3538204,Centro Local
3538303,Centro Local
3538501,Centro Local
3538600,Centro Local
3538709,Capital Regional
3538808,Centro de Zona
3538907,Centro Local
3539004,Centro Local
3539301,Centro Subregional
3539509,Centro Subregional
3539608,Centro Local
3539707,Centro Local
3539905,Centro Local
3540002,Centro Local
3540101,Centro Local
3540200,Centro Local
3540259,Centro Local
3540408,Centro Local
3540507,Centro Local
3540606,Centro de Zona
3540705,Centro Subregional
3540804,Centro Local
3540903,Centro Local
3541059,Centro Local
3541109,Centro Local
3541307,Centro de Zona
3541406,Capital Regional
3541505,Centro de Zona
3541604,Centro Local
3541653,Centro Local
3541703,Centro Local
3541901,Centro Local
3542206,Centro Local
3542503,Centro Local
3542602,Centro Subregional
3542909,Centro Local
3543006,Centro Local
3543204,Centro Local
3543238,Centro Local
3543402,Capital Regional
3543501,Centro Local
3543600,Centro Local
3543808,Centro Local
3543907,Centro Subregional
3544202,Centro Local
3544251,Centro Local
3544400,Centro Local
3544608,Centro Local
3544707,Centro Local
3544806,Centro Local
3544905,Centro Local
3545100,Centro Local
3545407,Centro Local
3545506,Centro Local
3545605,Centro Subregional
3545704,Centro Local
3546306,Centro Local
3546405,Centro Subregional
3546603,Centro de Zona
3547007,Centro Local
3547106,Centro Local
3547502,Centro Local
3547601,Centro Local
3547650,Centro Local
3547700,Centro Local
3547908,Centro Local
3548005,Centro Local
3548054,Centro Local
3548104,Centro Local
3548203,Centro Local
3548401,Centro Local
3548500,Capital Regional
3548609,Centro Local
3548906,Capital Regional
3549003,Centro Local
3549102,Centro Subregional
3549201,Centro Local
3549250,Centro Local
3549300,Centro Local
3549409,Centro Subregional
3549508,Centro Local
3549607,Centro Local
3549706,Centro Subregional
3549805,Capital Regional
3549904,Capital Regional
3550001,Centro Local
3550100,Centro de Zona
3550209,Centro Local
3550308,Metrópole
3550407,Centro Local
3550506,Centro Local
3550605,Centro Subregional
3550803,Centro Local
3550902,Centro Local
3551108,Centro Local
3551207,Centro Local
3551603,Centro Local
3551702,Centro Subregional
3551801,Centro Local
3551900,Centro Local
3552007,Centro Local
3552106,Centro Local
3552205,Capital Regional
3552304,Centro Local
3552551,Centro Local
3552601,Centro Local
3552700,Centro Local
3553005,Centro Local
3553104,Centro Local
3553203,Centro Local
3553302,Centro Local
3553401,Centro Local
3553500,Centro Local
3553609,Centro Local
3553658,Centro Local
3553708,Centro Subregional
3553807,Centro de Zona
3553856,Centro Local
3553955,Centro Local
3554003,Centro Subregional
3554201,Centro Local
3554300,Centro Local
3554409,Centro Local
3554607,Centro Local
3554656,Centro Local
3554706,Centro Local
3554755,Centro Local
3554953,Centro Local
3555000,Centro Subregional
3555109,Centro Local
3555208,Centro Local
3555307,Centro Local
3555356,Centro Local
3555505,Centro Local
3555703,Centro Local
3555802,Centro Local
3555901,Centro Local
3556008,Centro Local
3556107,Centro Local
3556305,Centro Local
3556354,Centro Local
3556404,Centro Local
3556800,Centro Local
3556909,Centro Local
3557105,Centro Subregional
3557154,Centro Local
